%YYMM   CRD 
1961.01    8220.00 
1961.02   10100.00 
1961.03   21400.00 
1961.04   27600.00 
1961.05   34200.00 
1961.06   39400.00 
1961.07   41200.00 
1961.08   36800.00 
1961.09   41200.00 
1961.10   30300.00 
1961.11   28500.00 
1961.12   19500.00 
1962.01   11200.00 
1962.02    8610.00 
1962.03   11000.00 
1962.04   20500.00 
1962.05   34300.00 
1962.06   46500.00 
1962.07   61500.00 
1962.08   46900.00 
1962.09   45000.00 
1962.10   33500.00 
1962.11   23000.00 
1962.12   14400.00 
1963.01    8800.00 
1963.02    6730.00 
1963.03    7980.00 
1963.04   12800.00 
1963.05   35500.00 
1963.06   34100.00 
1963.07   34200.00 
1963.08   38300.00 
1963.09   39900.00 
1963.10   34400.00 
1963.11   22300.00 
1963.12   16600.00 
1964.01   11600.00 
1964.02   12800.00 
1964.03   19000.00 
1964.04   29500.00 
1964.05   39800.00 
1964.06   41500.00 
1964.07   55900.00 
1964.08   42900.00 
1964.09   42900.00 
1964.10   49700.00 
1964.11   33700.00 
1964.12   14000.00 
1965.01    9110.00 
1965.02    8710.00 
1965.03    9240.00 
1965.04   20400.00 
1965.05   34100.00 
1965.06   33900.00 
1965.07   44900.00 
1965.08   44800.00 
1965.09   42300.00 
1965.10   39300.00 
1965.11   28300.00 
1965.12   16600.00 
1966.01   12900.00 
1966.02   11800.00 
1966.03   12200.00 
1966.04   24200.00 
1966.05   24600.00 
1966.06   29700.00 
1966.07   47900.00 
1966.08   37800.00 
1966.09   36500.00 
1966.10   27800.00 
1966.11   18600.00 
1966.12    9990.00 
1967.01    7880.00 
1967.02    8760.00 
1967.03   14400.00 
1967.04   25700.00 
1967.05   44300.00 
1967.06   47700.00 
1967.07   52000.00 
1967.08   35600.00 
1967.09   31500.00 
1967.10   30200.00 
1967.11   21600.00 
1967.12   17000.00 
1968.01    8880.00 
1968.02    8510.00 
1968.03   12600.00 
1968.04   28700.00 
1968.05   32300.00 
1968.06   32700.00 
1968.07   62200.00 
1968.08   49400.00 
1968.09   44500.00 
1968.10   41600.00 
1968.11   23000.00 
1968.12   12800.00 
1969.01   12300.00 
1969.02   12400.00 
1969.03   13000.00 
1969.04   18000.00 
1969.05   30300.00 
1969.06   27200.00 
1969.07   58300.00 
1969.08   47500.00 
1969.09   42300.00 
1969.10   32300.00 
1969.11   25300.00 
1969.12   12100.00 
1970.01    8340.00 
1970.02    8940.00 
1970.03   16700.00 
1970.04   28800.00 
1970.05   48200.00 
1970.06   48000.00 
1970.07   51800.00 
1970.08   48100.00 
1970.09   37300.00 
1970.10   38500.00 
1970.11   23100.00 
1970.12   17800.00 
1971.01   11600.00 
1971.02   11000.00 
1971.03   13900.00 
1971.04   17200.00 
1971.05   24400.00 
1971.06   49600.00 
1971.07   38400.00 
1971.08   25900.00 
1971.09   28600.00 
1971.10   28800.00 
1971.11   18900.00 
1971.12    9180.00 
1972.01    7780.00 
1972.02    9550.00 
1972.03   12000.00 
1972.04   18700.00 
1972.05   31100.00 
1972.06   32700.00 
1972.07   32800.00 
1972.08   28000.00 
1972.09   21600.00 
1972.10   27200.00 
1972.11   27100.00 
1972.12   15800.00 
1973.01   14000.00 
1973.02   14900.00 
1973.03   19000.00 
1973.04   31500.00 
1973.05   48600.00 
1973.06   54600.00 
1973.07   61500.00 
1973.08   43200.00 
1973.09   42500.00 
1973.10   42100.00 
1973.11   23500.00 
1973.12   11900.00 
1974.01    8820.00 
1974.02   12600.00 
1974.03   10600.00 
1974.04   13900.00 
1974.05   29700.00 
1974.06   29000.00 
1974.07   53400.00 
1974.08   46900.00 
1974.09   42200.00 
1974.10   38700.00 
1974.11   19600.00 
1974.12   12400.00 
1975.01   10900.00 
1975.02   12700.00 
1975.03   16500.00 
1975.04   25200.00 
1975.05   51800.00 
1975.06   50200.00 
1975.07   46700.00 
1975.08   43000.00 
1975.09   35200.00 
1975.10   39300.00 
1975.11   30400.00 
